title,company,location,link
[무료교육] 재직자 위한 스마트제조 실무 교육 안내,"
한국산업기술협회",서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8349ebbe61582cf3&tk
Technical Solutions Engineer,"
MightyHive",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2d83dcf8baac736b&tk
전기자동차 응용 소트프웨어 신입/경력 정규직 (PC / Smart폰 App. 개발),"
에디슨테크",대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3d5b1b1bce167058&tk
[ 아이콘트롤스 ] 2020년 경력 직원 (데이터분석),"
HDC아이콘트롤스",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8f65ee5238b477a2&tk
하나손해보험 경력직,"
하나손해보험",서울 종로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0c07d097f996104e&tk
Data Analyst,"
레이니스트",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5ca14de265f7fc9&tk
정보 보안 운영 관리 엔지니어,"
이스트게임즈",서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4da4476e21040e45&tk
AD Performance Dev,"
LINE Plus corporation",성남 서현역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cef60a5a4a42fe95&tk
[던전앤파이터] 2D/3D 그래픽 기술개발 부문 TA,"
네오플",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=22f7b14e98d420c7&tk
[NAVERxLINE] Global Ad Data Engineer/Data Analyst,"
네이버",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=713deb15cc6428fd&tk
[그룹계열사 대기업] Data Analysis (통계 머신러닝 AI 모형 개발),"
제이앤피에이치알컨설팅",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c88668ea065cd5bc&tk
[허브클랜] 비즈니스 데이터 분석가 (Business Data Analyst) 영입,"
카카오페이",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=26d1cbdbfbca34d4&tk
ICT/바이오 분야 대졸자 취업연계과정,"
한국폴리텍대학분당융합기술교육원",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=79eac74ad4394ffd&tk
카카오 광고 서비스 알고리즘 및 시스템 개발,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=afe92c03320fe1b3&tk
"서울 용산구) 응용 프로그래머 (JAVA, Python, C언어)","
심네트",서울 용산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7af042b41250c1be&tk
BI/DW 엔지니어,"
NHN ACE",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f30968ff9c529805&tk
AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력,"
현대오토에버",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=483b5c30ed9ccb06&tk
[금융사업클랜] 비즈니스 데이터 분석가 (Business Data Analyst) 영입,"
카카오페이",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eca18a1897e5d4ea&tk
데브옵스개발팀 - 웹 프로그래머,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c78a3c5d7bb7d883&tk
[신규프로젝트] 시니어 클라이언트 프로그래머 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5f60308d6cb8e7a7&tk
테크빌더팀 웹어플리케이션 개발자 (백앤드/프론트앤드),"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d9f5827c98272c9&tk
[서울지사] 데이터 분석가,"
네오플",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3d0fef92805a8c7c&tk
[경력] 빅데이터 플랫폼 엔지니어,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=61ecdc0ef3cfb66a&tk
Staff AE,"
Synopsys",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c388192aa3ac0634&tk
소형전지사업부 경력,"
삼성SDI",충청남도 천안,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=089931931a0474d5&tk
추천 시스템 소프트웨어 엔지니어,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07375dc4e800dfa9&tk
[해외취업] 【AI・RPAエンジニア】経験半年の方も歓迎 10ヵ国の技術者が在籍,"
株式会社リープ",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bad0f76842269b46&tk
Junior Full-stack Developer,"
Asiance",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb84164a9eed9423&tk
Back-end Engineer (Python),"
Soomgo",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=752a4b5d63eac97c&tk
MySQL 운영 및 개발 DBA (경력),"
네오위즈",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3be9c091be0a88a8&tk
카카오톡 보이스톡/페이스톡/라이브톡 개발자,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d585814d097935eb&tk
콘텐츠서비스개발팀 - 데이터분석가,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b35da47f5e84c9b4&tk
